Country,Year,Life expectancy ,Alcohol,Population
Afghanistan,2014,59.9,0.01,327582
Albania,2014,77.5,4.51,288914
Algeria,2014,75.4,0.01,39113313
Angola,2014,51.7,8.33,2692466
Antigua and Barbuda,2014,76.2,8.56,92562
Argentina,2014,76.2,7.93,42981515
Armenia,2014,74.6,3.91,29622
Australia,2014,82.7,9.71,2346694
Austria,2014,81.4,12.32,8541575
Azerbaijan,2014,72.5,0.01,953579
Bahamas,2014,75.4,9.45,370625
Bahrain,2014,76.8,1.57,1336000
Bangladesh,2014,71.4,0.01,15945279
Barbados,2014,75.4,8.82,284825
Belarus,2014,72,13.94,9474511
Belgium,2014,89,12.6,112957
Belize,2014,70,6.58,351694
Benin,2014,59.7,0.01,1286712
Bhutan,2014,69.4,0.01,776448
Bolivia (Plurinational State of),2014,74,3.62,10710000
Bosnia and Herzegovina,2014,77.2,4.03,35662
Botswana,2014,65.1,0.01,2168573
Brazil,2014,74.8,7.32,24213133
Brunei Darussalam,2014,77.6,0.01,409778
Bulgaria,2014,74.3,12.03,7223938
Burkina Faso,2014,59.3,0.01,17585977
Burundi,2014,59.1,0.01,989179
Côte d'Ivoire,2014,52.8,0.01,22650000
Cabo Verde,2014,73,0.01,526437
Cambodia,2014,68.3,0.01,152779
Cameroon,2014,56.7,0.01,2223994
Canada,2014,82,8.1,35544564
Central African Republic,2014,58,0.01,4515392
Chad,2014,52.6,0.01,13569438
Chile,2014,83,7.16,17613798
China,2014,75.8,5.78,136427
Colombia,2014,74.6,4.38,47791911
Comoros,2014,63.2,0.01,759385
Congo,2014,64.2,0.01,73770000
Costa Rica,2014,79.5,3.45,4757575
Croatia,2014,77.8,12.14,4238389
Cuba,2014,79,4.37,11310000
Cyprus,2014,83,0.01,115239
Czechia,2014,78.6,12.68,10530000
Democratic People's Republic of Korea,2014,73,0.01,25060000
Denmark,2014,84,9.64,5643475
Djibouti,2014,63,0.38,912164
Dominican Republic,2014,73.6,5.92,145844
Ecuador,2014,76,3.82,1593112
Egypt,2014,78,0.21,90420000
El Salvador,2014,73.3,2.52,6281189
Equatorial Guinea,2014,57.9,0.01,1129424
Eritrea,2014,64.4,0.01,3311449
Estonia,2014,77.3,0.01,1314545
Ethiopia,2014,64.2,0.01,97366774
Fiji,2014,69.7,0.01,88586
Finland,2014,89,8.8,5461512
France,2014,82.2,11.5,66331957
Gabon,2014,65.5,0.01,1875713
Gambia,2014,68,0.01,2024000
Georgia,2014,74.5,6.13,3727
Germany,2014,89,11.03,89825
Ghana,2014,62.1,0.01,26962563
Greece,2014,88,7.53,1892413
Grenada,2014,73.5,8.42,108900
Guatemala,2014,71.7,1.88,15923559
Guinea,2014,58.1,0.01,118559
Guinea-Bissau,2014,58.4,0.01,1725744
Guyana,2014,66,7.64,763393
Haiti,2014,63.1,0.01,1572466
Honduras,2014,74.5,2.87,889216
Hungary,2014,75.6,0.01,9866468
Iceland,2014,82.5,7.45,327386
