Country,Year,Life expectancy , BMI ,Population
Afghanistan,2015,65,19.1,33736494
Albania,2015,77.8,58,28873
Algeria,2015,75.6,59.5,39871528
Angola,2015,52.4,23.3,2785935
Antigua and Barbuda,2015,76.4,47.7,93571
Argentina,2015,76.3,62.8,43417765
Armenia,2015,74.8,54.9,291695
Australia,2015,82.8,66.6,23789338
Austria,2015,81.5,57.6,8633169
Azerbaijan,2015,72.7,52.5,9649341
Bahamas,2015,76.1,64.5,374200
Bahrain,2015,76.9,63.6,1372000
Bangladesh,2015,71.8,18.3,1612886
Barbados,2015,75.5,54.5,285327
Belarus,2015,72.3,62.3,9489616
Belgium,2015,81.1,63.7,11274196
Belize,2015,71,5.9,359288
Benin,2015,60,25.7,1575952
Bhutan,2015,69.8,24.5,787386
Bolivia (Plurinational State of),2015,77,52.6,10870000
Bosnia and Herzegovina,2015,77.4,55.8,3535961
Botswana,2015,65.7,37.9,229197
Brazil,2015,75,56.1,2596218
Brunei Darussalam,2015,77.7,41.2,414914
Bulgaria,2015,74.5,65.7,7177991
Burkina Faso,2015,59.9,19.4,1811624
Burundi,2015,59.6,18.7,119927
Côte d'Ivoire,2015,53.3,28,23230000
Cabo Verde,2015,73.3,31.3,532913
Cambodia,2015,68.7,19.6,15517635
Cameroon,2015,57.3,29,22834522
Canada,2015,82.2,67,3584861
Central African Republic,2015,52.5,22.7,45461
Chad,2015,53.1,19.1,149413
Chile,2015,85,63.8,17762681
China,2015,76.1,32.9,137122
Colombia,2015,74.8,57.9,48228697
Comoros,2015,63.5,24.2,777424
Congo,2015,64.7,27.4,76240000
Costa Rica,2015,79.6,6.5,487852
Croatia,2015,78,63.7,42364
Cuba,2015,79.1,61.4,11320000
Cyprus,2015,85,6.3,116985
Czechia,2015,78.8,66.1,10550000
Democratic People's Republic of Korea,2015,76,32.9,25180000
Denmark,2015,86,58.8,5683483
Djibouti,2015,63.5,35,927414
Dominican Republic,2015,73.9,58.9,1528394
Ecuador,2015,76.2,54.2,16144368
Egypt,2015,79,61.1,92440000
El Salvador,2015,73.5,56.1,6312478
Equatorial Guinea,2015,58.2,24.5,1175389
Eritrea,2015,64.7,18.6,3342818
Estonia,2015,77.6,59.9,131547
Ethiopia,2015,64.8,17.6,9987333
Fiji,2015,69.9,62.7,892149
Finland,2015,81.1,62.1,5479531
France,2015,82.4,62.5,6662468
Gabon,2015,66,36.3,193175
Gambia,2015,61.1,27.3,2086000
Georgia,2015,74.4,56.2,37171
Germany,2015,81,62.3,81686611
Ghana,2015,62.4,28.6,27582821
Greece,2015,81,66.5,182883
Grenada,2015,73.6,48.4,109603
Guatemala,2015,71.9,5.6,16252429
Guinea,2015,59,23.3,1291533
Guinea-Bissau,2015,58.9,26.3,177526
Guyana,2015,66.2,46.7,768514
Haiti,2015,63.5,49.9,171161
Honduras,2015,74.6,51,896829
Hungary,2015,75.8,64.8,984328
Iceland,2015,82.7,61,33815
India,2015,68.3,18.7,1395398
Indonesia,2015,69.1,27.4,258162113
Iran (Islamic Republic of),2015,75.5,59.7,78490000
Iraq,2015,68.9,59.1,36115649
Ireland,2015,81.4,62.8,4676835
Israel,2015,82.5,64.9,8381
Italy,2015,82.7,63.6,673582
Jamaica,2015,76.2,54.2,2871934
Japan,2015,83.7,29,127141
Jordan,2015,74.1,65.6,915932
Kazakhstan,2015,72,53.1,17544126
Kenya,2015,63.4,22,47236259
Kiribati,2015,66.3,77.6,11247
Kuwait,2015,74.7,71.4,3836000
Kyrgyzstan,2015,71.1,44.9,5957000
Lao People's Democratic Republic,2015,65.7,21.7,6741000
